level,algorithm,median_ms,min_ms,max_ms,range_ms
Stage 01,BFS,4.881700,4.763200,4.944200,0.181000
Stage 01,IDS,9.532100,9.282300,9.804300,0.522000
Stage 01,UCS,5.078200,5.006500,5.278300,0.271800
Stage 01,A*,2.734900,2.685100,2.764800,0.079700
Stage 02,BFS,2.079600,2.000000,2.164400,0.164400
Stage 02,IDS,10.564900,9.805300,10.999800,1.194500
Stage 02,UCS,1.982700,1.920400,2.034600,0.114200
Stage 02,A*,2.068400,1.828800,2.392900,0.564100
Stage 03,BFS,4.383100,4.276500,4.627500,0.351000
Stage 03,IDS,148.533400,143.109400,151.257400,8.148000
Stage 03,UCS,4.809800,4.740400,5.041000,0.300600
Stage 03,A*,5.403800,5.132400,5.423100,0.290700
Stage 04,BFS,22.004200,21.525000,25.802600,4.277600
Stage 04,IDS,410.163000,365.129200,481.874700,116.745500
Stage 04,UCS,25.801300,24.344000,26.415000,2.071000
Stage 04,A*,22.994400,22.258900,25.496600,3.237700
Stage 05,BFS,23.682300,22.253700,27.026800,4.773100
Stage 05,IDS,995.113000,899.219100,1035.597000,136.377900
Stage 05,UCS,24.405300,23.491500,26.232400,2.740900
Stage 05,A*,24.152200,22.250700,47.812000,25.561300
Stage 06,BFS,8.596900,7.893500,9.804100,1.910600
Stage 06,IDS,20.818400,19.241700,40.048400,20.806700
Stage 06,UCS,3.719200,3.226700,5.362500,2.135800
Stage 06,A*,3.515600,3.322200,4.316400,0.994200
Stage 07,BFS,81.792700,80.483900,87.675900,7.192000
Stage 07,IDS,222.827900,213.950700,254.014400,40.063700
Stage 07,UCS,100.906900,100.336200,146.091700,45.755500
Stage 07,A*,97.741000,94.903200,98.944700,4.041500
Stage 08,BFS,1084.232400,1058.465800,1109.421300,50.955500
Stage 08,IDS,161753.520000,159295.750700,168592.379200,9296.628500
Stage 08,UCS,1023.643500,1013.360800,1051.173800,37.813000
Stage 08,A*,956.504500,947.462500,968.653800,21.191300
Stage 09,BFS,3.719400,3.619900,3.847200,0.227300
Stage 09,IDS,22.544500,22.401000,23.786200,1.385200
Stage 09,UCS,3.687500,3.612800,3.755700,0.142900
Stage 09,A*,3.305700,3.235400,3.377300,0.141900
Stage 10,BFS,52.182100,50.366300,53.268000,2.901700
Stage 10,IDS,8464.026600,8422.883900,8540.867200,117.983300
Stage 10,UCS,55.825100,54.703600,56.854600,2.151000
Stage 10,A*,55.918800,55.554800,59.825200,4.270400
