level,BFS,IDS,UCS,A*
Stage 01,4.881700,9.532100,5.078200,2.734900
Stage 02,2.079600,10.564900,1.982700,2.068400
Stage 03,4.383100,148.533400,4.809800,5.403800
Stage 04,22.004200,410.163000,25.801300,22.994400
Stage 05,23.682300,995.113000,24.405300,24.152200
Stage 06,8.596900,20.818400,3.719200,3.515600
Stage 07,81.792700,222.827900,100.906900,97.741000
Stage 08,1084.232400,161753.520000,1023.643500,956.504500
Stage 09,3.719400,22.544500,3.687500,3.305700
Stage 10,52.182100,8464.026600,55.825100,55.918800
