stage_number,level,level_name,category,algorithm,runs,successful_runs,all_runs_ok,solved_all,paths_valid_all,deterministic_consistent,median_search_time_s,mean_search_time_s,stdev_search_time_s,min_search_time_s,max_search_time_s,median_memory_usage_bytes,mean_memory_usage_bytes,expanded_nodes,solution_length,solution_cost,path
1,Stage 01,Stage 01,Basic,BFS,5,5,True,True,True,True,0.004881700006080791,0.00485820000176318,7.29431663327975e-05,0.004763199991430156,0.0049442000017734244,35216,35291.2,64,7,9,"[""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT""]"
1,Stage 01,Stage 01,Basic,IDS,5,5,True,True,True,True,0.009532100011711009,0.009515619996818714,0.00020272422330246551,0.009282300001359545,0.009804299988900311,18918,18927.6,123,7,9,"[""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT""]"
1,Stage 01,Stage 01,Basic,UCS,5,5,True,True,True,True,0.00507820000348147,0.005114239998511039,0.00010748352522948884,0.005006499995943159,0.005278299999190494,28550,28559.6,62,7,9,"[""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT""]"
1,Stage 01,Stage 01,Basic,A*,5,5,True,True,True,True,0.002734900001087226,0.0027329400007147344,3.020783007953666e-05,0.002685100000235252,0.002764799995929934,21496,21505.6,28,7,9,"[""RIGHT"", ""DOWN"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT""]"
2,Stage 02,Stage 02,Fragile,BFS,5,5,True,True,True,True,0.0020795999880647287,0.0020670799975050615,6.886009257301517e-05,0.0020000000076834112,0.0021644000080414116,16894,16894,31,12,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]"
2,Stage 02,Stage 02,Fragile,IDS,5,5,True,True,True,True,0.010564900003373623,0.01046714000403881,0.00045797043707985124,0.00980530001106672,0.010999800011632033,13150,13150,169,12,24,"[""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""UP""]"
2,Stage 02,Stage 02,Fragile,UCS,5,5,True,True,True,True,0.0019826999923679978,0.0019783199968514964,4.9870401408283615e-05,0.0019203999981982633,0.0020345999946584925,15158,15158,28,13,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]"
2,Stage 02,Stage 02,Fragile,A*,5,5,True,True,True,True,0.0020683999900938943,0.002091559997643344,0.0002638907390781157,0.0018287999992026016,0.0023929000017233193,14672,14672,26,13,18,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""LEFT"", ""UP"", ""UP""]"
3,Stage 03,Stage 03,Fragile,BFS,5,5,True,True,True,True,0.004383100007544272,0.004403120002825745,0.00013348764969722796,0.004276499996194616,0.004627500005881302,26830,26830,69,28,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]"
3,Stage 03,Stage 03,Fragile,IDS,5,5,True,True,True,True,0.14853340000263415,0.14797886000014843,0.0035342406106034043,0.14310939999995753,0.1512574000080349,20550,20550,2280,28,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]"
3,Stage 03,Stage 03,Fragile,UCS,5,5,True,True,True,True,0.0048097999970195815,0.004857259997515939,0.00011705531967644295,0.00474039999244269,0.005040999996708706,25574,25574,68,28,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]"
3,Stage 03,Stage 03,Fragile,A*,5,5,True,True,True,True,0.005403799994383007,0.005321799998637289,0.00013024828400388054,0.005132399994181469,0.005423099995823577,25662,25662,68,28,73,"[""UP"", ""LEFT"", ""UP"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""DOWN"", ""RIGHT"", ""UP"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""LEFT"", ""DOWN""]"
4,Stage 04,Stage 04,Bridge/Switch,BFS,5,5,True,True,True,True,0.022004200000083074,0.023159140005009248,0.001929131226546849,0.021525000003748573,0.025802600008319132,145248,145248,283,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
4,Stage 04,Stage 04,Bridge/Switch,IDS,5,5,True,True,True,True,0.4101630000077421,0.4179692000034265,0.04727872269117345,0.365129199999501,0.48187470000993926,84686,84686,4967,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
4,Stage 04,Stage 04,Bridge/Switch,UCS,5,5,True,True,True,True,0.02580129999842029,0.025489059995743447,0.000938902593551472,0.024343999990378506,0.026415000000270084,114910,114910,271,17,26,"[""UP"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""RIGHT"", ""UP"", ""UP"", ""DOWN"", ""RIGHT"", ""DOWN"", ""RIGHT"", ""RIGHT"", ""UP"", ""RIGHT"", ""UP""]"
